name,National №,Type,Species,Height,Weight,Abilities,Local №
Fraxure,611, Dragon,Axe Jaw Pokémon,1.0 m (3′03″),36.0 kg (79.4 lbs), Rivalry Mold Breaker Unnerve, Unnerve Unnerve Unnerve Unnerve
Haxorus,612, Dragon,Axe Jaw Pokémon,1.8 m (5′11″),105.5 kg (232.6 lbs), Rivalry Mold Breaker Unnerve, Unnerve Unnerve Unnerve Unnerve
Cubchoo,613, Ice,Chill Pokémon,0.5 m (1′08″),8.5 kg (18.7 lbs), Snow Cloak Slush Rush Rattled, Rattled Rattled Rattled Rattled
Beartic,614, Ice,Freezing Pokémon,2.6 m (8′06″),260.0 kg (573.2 lbs), Snow Cloak Slush Rush Swift Swim, Swift Swim Swift Swim Swift Swim Swift Swim
Cryogonal,615, Ice,Crystallizing Pokémon,1.1 m (3′07″),148.0 kg (326.3 lbs), Levitate, Levitate Levitate Levitate
Shelmet,616, Bug,Snail Pokémon,0.4 m (1′04″),7.7 kg (17.0 lbs), Hydration Shell Armor Overcoat, Overcoat Overcoat Overcoat Overcoat
Accelgor,617, Bug,Shell Out Pokémon,0.8 m (2′07″),25.3 kg (55.8 lbs), Hydration Sticky Hold Unburden, Unburden Unburden Unburden Unburden
Stunfisk,618, Ground Electric,Trap Pokémon,0.7 m (2′04″),11.0 kg (24.3 lbs), Static Limber Sand Veil, Sand Veil Sand Veil Sand Veil Sand Veil
Mienfoo,619, Fighting,Martial Arts Pokémon,0.9 m (2′11″),20.0 kg (44.1 lbs), Inner Focus Regenerator Reckless, Reckless Reckless Reckless Reckless
Mienshao,620, Fighting,Martial Arts Pokémon,1.4 m (4′07″),35.5 kg (78.3 lbs), Inner Focus Regenerator Reckless, Reckless Reckless Reckless Reckless
Druddigon,621, Dragon,Cave Pokémon,1.6 m (5′03″),139.0 kg (306.4 lbs), Rough Skin Sheer Force Mold Breaker, Mold Breaker Mold Breaker Mold Breaker Mold Breaker
Golett,622, Ground Ghost,Automaton Pokémon,1.0 m (3′03″),92.0 kg (202.8 lbs), Iron Fist Klutz No Guard, No Guard No Guard No Guard No Guard No Guard
Golurk,623, Ground Ghost,Automaton Pokémon,2.8 m (9′02″),330.0 kg (727.5 lbs), Iron Fist Klutz No Guard, No Guard No Guard No Guard No Guard No Guard
Pawniard,624, Dark Steel,Sharp Blade Pokémon,0.5 m (1′08″),10.2 kg (22.5 lbs), Defiant Inner Focus Pressure, Pressure Pressure Pressure Pressure Pressure
Bisharp,625, Dark Steel,Sword Blade Pokémon,1.6 m (5′03″),70.0 kg (154.3 lbs), Defiant Inner Focus Pressure, Pressure Pressure Pressure Pressure Pressure
Bouffalant,626, Normal,Bash Buffalo Pokémon,1.6 m (5′03″),94.6 kg (208.6 lbs), Reckless Sap Sipper Soundproof, Soundproof Soundproof
Rufflet,627, Normal Flying,Eaglet Pokémon,0.5 m (1′08″),10.5 kg (23.1 lbs), Keen Eye Sheer Force Hustle, Hustle Hustle Hustle Hustle Hustle
Braviary,628, Normal Flying,Valiant Pokémon,1.5 m (4′11″),41.0 kg (90.4 lbs), Keen Eye Sheer Force Defiant, Defiant Defiant Defiant Defiant Defiant
Vullaby,629, Dark Flying,Diapered Pokémon,0.5 m (1′08″),9.0 kg (19.8 lbs), Big Pecks Overcoat Weak Armor, Weak Armor Weak Armor Weak Armor Weak Armor Weak Armor
Mandibuzz,630, Dark Flying,Bone Vulture Pokémon,1.2 m (3′11″),39.5 kg (87.1 lbs), Big Pecks Overcoat Weak Armor, Weak Armor Weak Armor Weak Armor Weak Armor Weak Armor
Heatmor,631, Fire,Anteater Pokémon,1.4 m (4′07″),58.0 kg (127.9 lbs), Gluttony Flash Fire White Smoke, White Smoke White Smoke White Smoke White Smoke
Durant,632, Bug Steel,Iron Ant Pokémon,0.3 m (1′00″),33.0 kg (72.8 lbs), Swarm Hustle Truant, Truant Truant Truant Truant
Deino,633, Dark Dragon,Irate Pokémon,0.8 m (2′07″),17.3 kg (38.1 lbs), Hustle, Hustle Hustle Hustle Hustle
Zweilous,634, Dark Dragon,Hostile Pokémon,1.4 m (4′07″),50.0 kg (110.2 lbs), Hustle, Hustle Hustle Hustle Hustle
Hydreigon,635, Dark Dragon,Brutal Pokémon,1.8 m (5′11″),160.0 kg (352.7 lbs), Levitate, Levitate Levitate Levitate Levitate
Larvesta,636, Bug Fire,Torch Pokémon,1.1 m (3′07″),28.8 kg (63.5 lbs), Flame Body Swarm, Swarm Swarm Swarm
Volcarona,637, Bug Fire,Sun Pokémon,1.6 m (5′03″),46.0 kg (101.4 lbs), Flame Body Swarm, Swarm Swarm Swarm
Cobalion,638, Steel Fighting,Iron Will Pokémon,2.1 m (6′11″),250.0 kg (551.2 lbs), Justified, Justified Justified
Terrakion,639, Rock Fighting,Cavern Pokémon,1.9 m (6′03″),260.0 kg (573.2 lbs), Justified, Justified Justified
Virizion,640, Grass Fighting,Grassland Pokémon,2.0 m (6′07″),200.0 kg (440.9 lbs), Justified, Justified Justified
Tornadus,641, Flying,Cyclone Pokémon,1.5 m (4′11″),63.0 kg (138.9 lbs), Prankster Defiant, Defiant Defiant
Thundurus,642, Electric Flying,Bolt Strike Pokémon,1.5 m (4′11″),61.0 kg (134.5 lbs), Prankster Defiant, Defiant Defiant
Reshiram,643, Dragon Fire,Vast White Pokémon,3.2 m (10′06″),330.0 kg (727.5 lbs), Turboblaze, Turboblaze Turboblaze
Zekrom,644, Dragon Electric,Deep Black Pokémon,2.9 m (9′06″),345.0 kg (760.6 lbs), Teravolt, Teravolt Teravolt
Landorus,645, Ground Flying,Abundance Pokémon,1.5 m (4′11″),68.0 kg (149.9 lbs), Sand Force Sheer Force, Sheer Force Sheer Force
Kyurem,646, Dragon Ice,Boundary Pokémon,3.0 m (9′10″),325.0 kg (716.5 lbs), Pressure, Pressure Pressure
Keldeo,647, Water Fighting,Colt Pokémon,1.4 m (4′07″),48.5 kg (106.9 lbs), Justified, Justified Justified
Meloetta,648, Normal Psychic,Melody Pokémon,0.6 m (2′00″),6.5 kg (14.3 lbs), Serene Grace, Serene Grace Serene Grace
Genesect,649, Bug Steel,Paleozoic Pokémon,1.5 m (4′11″),82.5 kg (181.9 lbs), Download, Download Download
Chespin,650, Grass,Spiny Nut Pokémon,0.4 m (1′04″),9.0 kg (19.8 lbs), Overgrow Bulletproof, Bulletproof
Quilladin,651, Grass,Spiny Armor Pokémon,0.7 m (2′04″),29.0 kg (63.9 lbs), Overgrow Bulletproof, Bulletproof
Chesnaught,652, Grass Fighting,Spiny Armor Pokémon,1.6 m (5′03″),90.0 kg (198.4 lbs), Overgrow Bulletproof, Bulletproof
Fennekin,653, Fire,Fox Pokémon,0.4 m (1′04″),9.4 kg (20.7 lbs), Blaze Magician, Magician
Braixen,654, Fire,Fox Pokémon,1.0 m (3′03″),14.5 kg (32.0 lbs), Blaze Magician, Magician
Delphox,655, Fire Psychic,Fox Pokémon,1.5 m (4′11″),39.0 kg (86.0 lbs), Blaze Magician, Magician
Froakie,656, Water,Bubble Frog Pokémon,0.3 m (1′00″),7.0 kg (15.4 lbs), Torrent Protean, Protean
Frogadier,657, Water,Bubble Frog Pokémon,0.6 m (2′00″),10.9 kg (24.0 lbs), Torrent Protean, Protean
Greninja,658, Water Dark,Ninja Pokémon,1.5 m (4′11″),40.0 kg (88.2 lbs), Torrent Protean, Protean
Bunnelby,659, Normal,Digging Pokémon,0.4 m (1′04″),5.0 kg (11.0 lbs), Pickup Cheek Pouch Huge Power, Huge Power Huge Power
Diggersby,660, Normal Ground,Digging Pokémon,1.0 m (3′03″),42.4 kg (93.5 lbs), Pickup Cheek Pouch Huge Power, Huge Power Huge Power
Fletchling,661, Normal Flying,Tiny Robin Pokémon,0.3 m (1′00″),1.7 kg (3.7 lbs), Big Pecks Gale Wings, Gale Wings Gale Wings Gale Wings
Fletchinder,662, Fire Flying,Ember Pokémon,0.7 m (2′04″),16.0 kg (35.3 lbs), Flame Body Gale Wings, Gale Wings Gale Wings Gale Wings
Talonflame,663, Fire Flying,Scorching Pokémon,1.2 m (3′11″),24.5 kg (54.0 lbs), Flame Body Gale Wings, Gale Wings Gale Wings Gale Wings
Scatterbug,664, Bug,Scatterdust Pokémon,0.3 m (1′00″),2.5 kg (5.5 lbs), Shield Dust Compound Eyes Friend Guard, Friend Guard
Spewpa,665, Bug,Scatterdust Pokémon,0.3 m (1′00″),8.4 kg (18.5 lbs), Shed Skin Friend Guard, Friend Guard
Vivillon,666, Bug Flying,Scale Pokémon,1.2 m (3′11″),17.0 kg (37.5 lbs), Shield Dust Compound Eyes Friend Guard, Friend Guard
Litleo,667, Fire Normal,Lion Cub Pokémon,0.6 m (2′00″),13.5 kg (29.8 lbs), Rivalry Unnerve Moxie, Moxie Moxie
Pyroar,668, Fire Normal,Royal Pokémon,1.5 m (4′11″),81.5 kg (179.7 lbs), Rivalry Unnerve Moxie, Moxie Moxie
Flabébé,669, Fairy,Single Bloom Pokémon,0.1 m (0′04″),0.1 kg (0.2 lbs), Flower Veil Symbiosis, Symbiosis Symbiosis
Floette,670, Fairy,Single Bloom Pokémon,0.2 m (0′08″),0.9 kg (2.0 lbs), Flower Veil Symbiosis, Symbiosis Symbiosis
Florges,671, Fairy,Garden Pokémon,1.1 m (3′07″),10.0 kg (22.0 lbs), Flower Veil Symbiosis, Symbiosis Symbiosis
Skiddo,672, Grass,Mount Pokémon,0.9 m (2′11″),31.0 kg (68.3 lbs), Sap Sipper Grass Pelt, Grass Pelt
Gogoat,673, Grass,Mount Pokémon,1.7 m (5′07″),91.0 kg (200.6 lbs), Sap Sipper Grass Pelt, Grass Pelt
Pancham,674, Fighting,Playful Pokémon,0.6 m (2′00″),8.0 kg (17.6 lbs), Iron Fist Mold Breaker Scrappy, Scrappy Scrappy Scrappy Scrappy
Pangoro,675, Fighting Dark,Daunting Pokémon,2.1 m (6′11″),136.0 kg (299.8 lbs), Iron Fist Mold Breaker Scrappy, Scrappy Scrappy Scrappy Scrappy
Furfrou,676, Normal,Poodle Pokémon,1.2 m (3′11″),28.0 kg (61.7 lbs), Fur Coat, Fur Coat Fur Coat
Espurr,677, Psychic,Restraint Pokémon,0.3 m (1′00″),3.5 kg (7.7 lbs), Keen Eye Infiltrator Own Tempo, Own Tempo Own Tempo
Meowstic,678, Psychic,Constraint Pokémon,0.6 m (2′00″),8.5 kg (18.7 lbs), Keen Eye Infiltrator Prankster, Prankster Prankster
Honedge,679, Steel Ghost,Sword Pokémon,0.8 m (2′07″),2.0 kg (4.4 lbs), No Guard, No Guard No Guard
Doublade,680, Steel Ghost,Sword Pokémon,0.8 m (2′07″),4.5 kg (9.9 lbs), No Guard, No Guard No Guard
Aegislash,681, Steel Ghost,Royal Sword Pokémon,1.7 m (5′07″),53.0 kg (116.8 lbs), Stance Change, Stance Change Stance Change
Spritzee,682, Fairy,Perfume Pokémon,0.2 m (0′08″),0.5 kg (1.1 lbs), Healer Aroma Veil, Aroma Veil Aroma Veil
Aromatisse,683, Fairy,Fragrance Pokémon,0.8 m (2′07″),15.5 kg (34.2 lbs), Healer Aroma Veil, Aroma Veil Aroma Veil
Swirlix,684, Fairy,Cotton Candy Pokémon,0.4 m (1′04″),3.5 kg (7.7 lbs), Sweet Veil Unburden, Unburden Unburden
Slurpuff,685, Fairy,Meringue Pokémon,0.8 m (2′07″),5.0 kg (11.0 lbs), Sweet Veil Unburden, Unburden Unburden
Inkay,686, Dark Psychic,Revolving Pokémon,0.4 m (1′04″),3.5 kg (7.7 lbs), Contrary Suction Cups Infiltrator, Infiltrator Infiltrator Infiltrator
Malamar,687, Dark Psychic,Overturning Pokémon,1.5 m (4′11″),47.0 kg (103.6 lbs), Contrary Suction Cups Infiltrator, Infiltrator Infiltrator Infiltrator
Binacle,688, Rock Water,Two-Handed Pokémon,0.5 m (1′08″),31.0 kg (68.3 lbs), Sniper Tough Claws Pickpocket, Pickpocket Pickpocket
Barbaracle,689, Rock Water,Collective Pokémon,1.3 m (4′03″),96.0 kg (211.6 lbs), Sniper Tough Claws Pickpocket, Pickpocket Pickpocket
Skrelp,690, Poison Water,Mock Kelp Pokémon,0.5 m (1′08″),7.3 kg (16.1 lbs), Poison Point Poison Touch Adaptability, Adaptability Adaptability
Dragalge,691, Poison Dragon,Mock Kelp Pokémon,1.8 m (5′11″),81.5 kg (179.7 lbs), Poison Point Poison Touch Adaptability, Adaptability Adaptability
Clauncher,692, Water,Water Gun Pokémon,0.5 m (1′08″),8.3 kg (18.3 lbs), Mega Launcher, Mega Launcher Mega Launcher
Clawitzer,693, Water,Howitzer Pokémon,1.3 m (4′03″),35.3 kg (77.8 lbs), Mega Launcher, Mega Launcher Mega Launcher
Helioptile,694, Electric Normal,Generator Pokémon,0.5 m (1′08″),6.0 kg (13.2 lbs), Dry Skin Sand Veil Solar Power, Solar Power Solar Power
Heliolisk,695, Electric Normal,Generator Pokémon,1.0 m (3′03″),21.0 kg (46.3 lbs), Dry Skin Sand Veil Solar Power, Solar Power Solar Power
Tyrunt,696, Rock Dragon,Royal Heir Pokémon,0.8 m (2′07″),26.0 kg (57.3 lbs), Strong Jaw Sturdy, Sturdy Sturdy
Tyrantrum,697, Rock Dragon,Despot Pokémon,2.5 m (8′02″),270.0 kg (595.2 lbs), Strong Jaw Rock Head, Rock Head Rock Head
Amaura,698, Rock Ice,Tundra Pokémon,1.3 m (4′03″),25.2 kg (55.6 lbs), Refrigerate Snow Warning, Snow Warning Snow Warning
Aurorus,699, Rock Ice,Tundra Pokémon,2.7 m (8′10″),225.0 kg (496.0 lbs), Refrigerate Snow Warning, Snow Warning Snow Warning
Sylveon,700, Fairy,Intertwining Pokémon,1.0 m (3′03″),23.5 kg (51.8 lbs), Cute Charm Pixilate, Pixilate Pixilate Pixilate Pixilate
Hawlucha,701, Fighting Flying,Wrestling Pokémon,0.8 m (2′07″),21.5 kg (47.4 lbs), Limber Unburden Mold Breaker, Mold Breaker Mold Breaker Mold Breaker
Dedenne,702, Electric Fairy,Antenna Pokémon,0.2 m (0′08″),2.2 kg (4.9 lbs), Cheek Pouch Pickup Plus, Plus Plus
Carbink,703, Rock Fairy,Jewel Pokémon,0.3 m (1′00″),5.7 kg (12.6 lbs), Clear Body Sturdy, Sturdy Sturdy Sturdy
Goomy,704, Dragon,Soft Tissue Pokémon,0.3 m (1′00″),2.8 kg (6.2 lbs), Sap Sipper Hydration Gooey, Gooey Gooey Gooey Gooey
Sliggoo,705, Dragon,Soft Tissue Pokémon,0.8 m (2′07″),17.5 kg (38.6 lbs), Sap Sipper Hydration Gooey, Gooey Gooey Gooey Gooey
Goodra,706, Dragon,Dragon Pokémon,2.0 m (6′07″),150.5 kg (331.8 lbs), Sap Sipper Hydration Gooey, Gooey Gooey Gooey Gooey
Klefki,707, Steel Fairy,Key Ring Pokémon,0.2 m (0′08″),3.0 kg (6.6 lbs), Prankster Magician, Magician Magician Magician
Phantump,708, Ghost Grass,Stump Pokémon,0.4 m (1′04″),7.0 kg (15.4 lbs), Natural Cure Frisk Harvest, Harvest Harvest Harvest Harvest
Trevenant,709, Ghost Grass,Elder Tree Pokémon,1.5 m (4′11″),71.0 kg (156.5 lbs), Natural Cure Frisk Harvest, Harvest Harvest Harvest Harvest
Pumpkaboo,710, Ghost Grass,Pumpkin Pokémon,0.4 m (1′04″),5.0 kg (11.0 lbs), Pickup Frisk Insomnia, Insomnia Insomnia
Gourgeist,711, Ghost Grass,Pumpkin Pokémon,0.9 m (2′11″),12.5 kg (27.6 lbs), Pickup Frisk Insomnia, Insomnia Insomnia
Bergmite,712, Ice,Ice Chunk Pokémon,1.0 m (3′03″),99.5 kg (219.4 lbs), Own Tempo Ice Body Sturdy, Sturdy Sturdy
Avalugg,713, Ice,Iceberg Pokémon,2.0 m (6′07″),505.0 kg (1113.3 lbs), Own Tempo Ice Body Sturdy, Sturdy Sturdy
Noibat,714, Flying Dragon,Sound Wave Pokémon,0.5 m (1′08″),8.0 kg (17.6 lbs), Frisk Infiltrator Telepathy, Telepathy Telepathy Telepathy
Noivern,715, Flying Dragon,Sound Wave Pokémon,1.5 m (4′11″),85.0 kg (187.4 lbs), Frisk Infiltrator Telepathy, Telepathy Telepathy Telepathy
Xerneas,716, Fairy,Life Pokémon,3.0 m (9′10″),215.0 kg (474.0 lbs), Fairy Aura, Fairy Aura
Yveltal,717, Dark Flying,Destruction Pokémon,5.8 m (19′00″),203.0 kg (447.5 lbs), Dark Aura, Dark Aura
Zygarde,718, Dragon Ground,Order Pokémon,5.0 m (16′05″),305.0 kg (672.4 lbs), Aura Break Power Construct, Power Construct Power Construct Power Construct
Diancie,719, Rock Fairy,Jewel Pokémon,0.7 m (2′04″),8.8 kg (19.4 lbs), Clear Body, Clear Body
Hoopa,720, Psychic Ghost,Mischief Pokémon,0.5 m (1′08″),9.0 kg (19.8 lbs), Magician, Magician
Volcanion,721, Fire Water,Steam Pokémon,1.7 m (5′07″),195.0 kg (429.9 lbs), Water Absorb, Water Absorb
Rowlet,722, Grass Flying,Grass Quill Pokémon,0.3 m (1′00″),1.5 kg (3.3 lbs), Overgrow Long Reach, Long Reach Long Reach
Dartrix,723, Grass Flying,Blade Quill Pokémon,0.7 m (2′04″),16.0 kg (35.3 lbs), Overgrow Long Reach, Long Reach Long Reach
Decidueye,724, Grass Ghost,Arrow Quill Pokémon,1.6 m (5′03″),36.6 kg (80.7 lbs), Overgrow Long Reach, Long Reach Long Reach
Litten,725, Fire,Fire Cat Pokémon,0.4 m (1′04″),4.3 kg (9.5 lbs), Blaze Intimidate, Intimidate Intimidate
Torracat,726, Fire,Fire Cat Pokémon,0.7 m (2′04″),25.0 kg (55.1 lbs), Blaze Intimidate, Intimidate Intimidate
Incineroar,727, Fire Dark,Heel Pokémon,1.8 m (5′11″),83.0 kg (183.0 lbs), Blaze Intimidate, Intimidate Intimidate
Popplio,728, Water,Sea Lion Pokémon,0.4 m (1′04″),7.5 kg (16.5 lbs), Torrent Liquid Voice, Liquid Voice Liquid Voice
Brionne,729, Water,Pop Star Pokémon,0.6 m (2′00″),17.5 kg (38.6 lbs), Torrent Liquid Voice, Liquid Voice Liquid Voice
Primarina,730, Water Fairy,Soloist Pokémon,1.8 m (5′11″),44.0 kg (97.0 lbs), Torrent Liquid Voice, Liquid Voice Liquid Voice
Pikipek,731, Normal Flying,Woodpecker Pokémon,0.3 m (1′00″),1.2 kg (2.6 lbs), Keen Eye Skill Link Pickup, Pickup Pickup
Trumbeak,732, Normal Flying,Bugle Beak Pokémon,0.6 m (2′00″),14.8 kg (32.6 lbs), Keen Eye Skill Link Pickup, Pickup Pickup
Toucannon,733, Normal Flying,Cannon Pokémon,1.1 m (3′07″),26.0 kg (57.3 lbs), Keen Eye Skill Link Sheer Force, Sheer Force Sheer Force
Yungoos,734, Normal,Loitering Pokémon,0.4 m (1′04″),6.0 kg (13.2 lbs), Strong Jaw Stakeout Adaptability, Adaptability Adaptability
Gumshoos,735, Normal,Stakeout Pokémon,0.7 m (2′04″),14.2 kg (31.3 lbs), Strong Jaw Stakeout Adaptability, Adaptability Adaptability
Grubbin,736, Bug,Larva Pokémon,0.4 m (1′04″),4.4 kg (9.7 lbs), Swarm, Swarm Swarm Swarm
Charjabug,737, Bug Electric,Battery Pokémon,0.5 m (1′08″),10.5 kg (23.1 lbs), Battery, Battery Battery Battery
Vikavolt,738, Bug Electric,Stag Beetle Pokémon,1.5 m (4′11″),45.0 kg (99.2 lbs), Levitate, Levitate Levitate Levitate
Crabrawler,739, Fighting,Boxing Pokémon,0.6 m (2′00″),7.0 kg (15.4 lbs), Hyper Cutter Iron Fist Anger Point, Anger Point Anger Point
Crabominable,740, Fighting Ice,Woolly Crab Pokémon,1.7 m (5′07″),180.0 kg (396.8 lbs), Hyper Cutter Iron Fist Anger Point, Anger Point Anger Point
Oricorio,741, Fire Flying,Dancing Pokémon,0.6 m (2′00″),3.4 kg (7.5 lbs), Dancer, Dancer Dancer
Cutiefly,742, Bug Fairy,Bee Fly Pokémon,0.1 m (0′04″),0.2 kg (0.4 lbs), Honey Gather Shield Dust Sweet Veil, Sweet Veil Sweet Veil Sweet Veil
Ribombee,743, Bug Fairy,Bee Fly Pokémon,0.2 m (0′08″),0.5 kg (1.1 lbs), Honey Gather Shield Dust Sweet Veil, Sweet Veil Sweet Veil Sweet Veil
Rockruff,744, Rock,Puppy Pokémon,0.5 m (1′08″),9.2 kg (20.3 lbs), Keen Eye Vital Spirit Steadfast, Steadfast Steadfast
Lycanroc,745, Rock,Wolf Pokémon,0.8 m (2′07″),25.0 kg (55.1 lbs), Keen Eye Sand Rush Steadfast, Steadfast Steadfast
Wishiwashi,746, Water,Small Fry Pokémon,0.2 m (0′08″),0.3 kg (0.7 lbs), Schooling, Schooling Schooling Schooling
Mareanie,747, Poison Water,Brutal Star Pokémon,0.4 m (1′04″),8.0 kg (17.6 lbs), Merciless Limber Regenerator, Regenerator Regenerator Regenerator
Toxapex,748, Poison Water,Brutal Star Pokémon,0.7 m (2′04″),14.5 kg (32.0 lbs), Merciless Limber Regenerator, Regenerator Regenerator Regenerator
Mudbray,749, Ground,Donkey Pokémon,1.0 m (3′03″),110.0 kg (242.5 lbs), Own Tempo Stamina Inner Focus, Inner Focus Inner Focus Inner Focus
Mudsdale,750, Ground,Draft Horse Pokémon,2.5 m (8′02″),920.0 kg (2028.3 lbs), Own Tempo Stamina Inner Focus, Inner Focus Inner Focus Inner Focus
Dewpider,751, Water Bug,Water Bubble Pokémon,0.3 m (1′00″),4.0 kg (8.8 lbs), Water Bubble Water Absorb, Water Absorb Water Absorb Water Absorb
Araquanid,752, Water Bug,Water Bubble Pokémon,1.8 m (5′11″),82.0 kg (180.8 lbs), Water Bubble Water Absorb, Water Absorb Water Absorb Water Absorb
Fomantis,753, Grass,Sickle Grass Pokémon,0.3 m (1′00″),1.5 kg (3.3 lbs), Leaf Guard Contrary, Contrary Contrary
Lurantis,754, Grass,Bloom Sickle Pokémon,0.9 m (2′11″),18.5 kg (40.8 lbs), Leaf Guard Contrary, Contrary Contrary
Morelull,755, Grass Fairy,Illuminating Pokémon,0.2 m (0′08″),1.5 kg (3.3 lbs), Illuminate Effect Spore Rain Dish, Rain Dish Rain Dish Rain Dish
Shiinotic,756, Grass Fairy,Illuminating Pokémon,1.0 m (3′03″),11.5 kg (25.4 lbs), Illuminate Effect Spore Rain Dish, Rain Dish Rain Dish Rain Dish
Salandit,757, Poison Fire,Toxic Lizard Pokémon,0.6 m (2′00″),4.8 kg (10.6 lbs), Corrosion Oblivious, Oblivious Oblivious Oblivious
Salazzle,758, Poison Fire,Toxic Lizard Pokémon,1.2 m (3′11″),22.2 kg (48.9 lbs), Corrosion Oblivious, Oblivious Oblivious Oblivious
Stufful,759, Normal Fighting,Flailing Pokémon,0.5 m (1′08″),6.8 kg (15.0 lbs), Fluffy Klutz Cute Charm, Cute Charm Cute Charm Cute Charm
Bewear,760, Normal Fighting,Strong Arm Pokémon,2.1 m (6′11″),135.0 kg (297.6 lbs), Fluffy Klutz Unnerve, Unnerve Unnerve Unnerve
Bounsweet,761, Grass,Fruit Pokémon,0.3 m (1′00″),3.2 kg (7.1 lbs), Leaf Guard Oblivious Sweet Veil, Sweet Veil Sweet Veil Sweet Veil
Steenee,762, Grass,Fruit Pokémon,0.7 m (2′04″),8.2 kg (18.1 lbs), Leaf Guard Oblivious Sweet Veil, Sweet Veil Sweet Veil Sweet Veil
Tsareena,763, Grass,Fruit Pokémon,1.2 m (3′11″),21.4 kg (47.2 lbs), Leaf Guard Queenly Majesty Sweet Veil, Sweet Veil Sweet Veil Sweet Veil
Comfey,764, Fairy,Posy Picker Pokémon,0.1 m (0′04″),0.3 kg (0.7 lbs), Flower Veil Triage Natural Cure, Natural Cure Natural Cure
Oranguru,765, Normal Psychic,Sage Pokémon,1.5 m (4′11″),76.0 kg (167.6 lbs), Inner Focus Telepathy Symbiosis, Symbiosis Symbiosis Symbiosis
Passimian,766, Fighting,Teamwork Pokémon,2.0 m (6′07″),82.8 kg (182.5 lbs), Receiver Defiant, Defiant Defiant Defiant
Wimpod,767, Bug Water,Turn Tail Pokémon,0.5 m (1′08″),12.0 kg (26.5 lbs), Wimp Out, Wimp Out Wimp Out Wimp Out
Golisopod,768, Bug Water,Hard Scale Pokémon,2.0 m (6′07″),108.0 kg (238.1 lbs), Emergency Exit, Emergency Exit Emergency Exit Emergency Exit
Sandygast,769, Ghost Ground,Sand Heap Pokémon,0.5 m (1′08″),70.0 kg (154.3 lbs), Water Compaction Sand Veil, Sand Veil Sand Veil
Palossand,770, Ghost Ground,Sand Castle Pokémon,1.3 m (4′03″),250.0 kg (551.2 lbs), Water Compaction Sand Veil, Sand Veil Sand Veil
Pyukumuku,771, Water,Sea Cucumber Pokémon,0.3 m (1′00″),1.2 kg (2.6 lbs), Innards Out Unaware, Unaware Unaware Unaware
Type: Null,772, Normal,Synthetic Pokémon,1.9 m (6′03″),120.5 kg (265.7 lbs), Battle Armor, Battle Armor Battle Armor Battle Armor
Silvally,773, Normal,Synthetic Pokémon,2.3 m (7′07″),100.5 kg (221.6 lbs), RKS System, RKS System RKS System RKS System
Minior,774, Rock Flying,Meteor Pokémon,0.3 m (1′00″),40.0 kg (88.2 lbs), Shields Down, Shields Down Shields Down
Komala,775, Normal,Drowsing Pokémon,0.4 m (1′04″),19.9 kg (43.9 lbs), Comatose, Comatose Comatose
Turtonator,776, Fire Dragon,Blast Turtle Pokémon,2.0 m (6′07″),212.0 kg (467.4 lbs), Shell Armor, Shell Armor Shell Armor Shell Armor
Togedemaru,777, Electric Steel,Roly-Poly Pokémon,0.3 m (1′00″),3.3 kg (7.3 lbs), Iron Barbs Lightning Rod Sturdy, Sturdy Sturdy Sturdy
Mimikyu,778, Ghost Fairy,Disguise Pokémon,0.2 m (0′08″),0.7 kg (1.5 lbs), Disguise, Disguise Disguise Disguise
Bruxish,779, Water Psychic,Gnash Teeth Pokémon,0.9 m (2′11″),19.0 kg (41.9 lbs), Dazzling Strong Jaw Wonder Skin, Wonder Skin Wonder Skin
Drampa,780, Normal Dragon,Placid Pokémon,3.0 m (9′10″),185.0 kg (407.9 lbs), Berserk Sap Sipper Cloud Nine, Cloud Nine Cloud Nine Cloud Nine
Dhelmise,781, Ghost Grass,Sea Creeper Pokémon,3.9 m (12′10″),210.0 kg (463.0 lbs), Steelworker, Steelworker Steelworker Steelworker
Jangmo-o,782, Dragon,Scaly Pokémon,0.6 m (2′00″),29.7 kg (65.5 lbs), Bulletproof Soundproof Overcoat, Overcoat Overcoat Overcoat
Hakamo-o,783, Dragon Fighting,Scaly Pokémon,1.2 m (3′11″),47.0 kg (103.6 lbs), Bulletproof Soundproof Overcoat, Overcoat Overcoat Overcoat
Kommo-o,784, Dragon Fighting,Scaly Pokémon,1.6 m (5′03″),78.2 kg (172.4 lbs), Bulletproof Soundproof Overcoat, Overcoat Overcoat Overcoat
Tapu Koko,785, Electric Fairy,Land Spirit Pokémon,1.8 m (5′11″),20.5 kg (45.2 lbs), Electric Surge Telepathy, Telepathy Telepathy
Tapu Lele,786, Psychic Fairy,Land Spirit Pokémon,1.2 m (3′11″),18.6 kg (41.0 lbs), Psychic Surge Telepathy, Telepathy Telepathy
Tapu Bulu,787, Grass Fairy,Land Spirit Pokémon,1.9 m (6′03″),45.5 kg (100.3 lbs), Grassy Surge Telepathy, Telepathy Telepathy
Tapu Fini,788, Water Fairy,Land Spirit Pokémon,1.3 m (4′03″),21.2 kg (46.7 lbs), Misty Surge Telepathy, Telepathy Telepathy
Cosmog,789, Psychic,Nebula Pokémon,0.2 m (0′08″),0.1 kg (0.2 lbs), Unaware, Unaware Unaware
